                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.65526,                0.34761,                0.87915,                0.80951,                0.35022,                0.88589,                 0.9303,                0.90193,                0.94603,                0.76668,                0.75012,                0.40134,                0.95551,                0.82406,                0.41242,                0.96426,             0.00061605,             0.00061605,             0.00061605
                     48,                0.64911,                0.34563,                0.87531,                0.80665,                0.34909,                0.88185,                 0.9302,                0.90378,                0.94818,                0.76835,                0.74843,                0.40164,                0.95652,                0.82342,                0.41697,                0.96432,             0.00060505,             0.00060505,             0.00060505
                     49,                0.64855,                0.34351,                0.87709,                0.80406,                0.34747,                0.88368,                0.93826,                0.89247,                0.94759,                0.76813,                0.74009,                0.39517,                0.95396,                0.81659,                0.41531,                0.96217,             0.00059405,             0.00059405,             0.00059405
                     50,                0.63992,                0.33837,                0.87397,                0.79433,                0.33796,                0.87959,                0.93406,                0.90008,                0.94906,                0.77091,                 0.7332,                0.39672,                0.94717,                0.80705,                0.41087,                0.95485,             0.00058305,             0.00058305,             0.00058305
                     51,                0.63061,                 0.3374,                0.87399,                0.78343,                0.33885,                0.87996,                0.93502,                0.89385,                0.94497,                 0.7661,                0.73201,                0.40292,                0.95407,                0.80507,                 0.4226,                0.96255,             0.00057205,             0.00057205,             0.00057205
                     52,                0.62708,                0.33189,                0.86872,                0.78265,                0.33505,                 0.8745,                0.92536,                0.91457,                0.95129,                0.77281,                0.73023,                0.39692,                0.94897,                0.80427,                0.41851,                0.95885,             0.00056105,             0.00056105,             0.00056105
                     53,                0.62304,                  0.331,                0.86693,                 0.7752,                0.33088,                0.87306,                0.93557,                0.89869,                0.94908,                0.76997,                0.72592,                0.39943,                0.94934,                0.80104,                0.42302,                0.95882,             0.00055006,             0.00055006,             0.00055006
                     54,                0.61683,                0.32825,                0.86626,                0.76821,                0.32951,                0.87219,                0.93082,                0.89299,                0.94626,                0.77016,                0.72344,                0.39745,                 0.9464,                0.80001,                0.41902,                0.95525,             0.00053906,             0.00053906,             0.00053906
                     55,                0.61354,                0.32587,                0.86329,                0.76834,                0.32863,                0.86977,                0.92376,                0.91213,                0.95174,                0.77661,                0.71848,                0.39782,                0.94827,                0.79159,                0.42174,                0.95591,             0.00052806,             0.00052806,             0.00052806
                     56,                0.60761,                0.32194,                0.86438,                0.76122,                0.32384,                0.87066,                0.93044,                 0.9079,                0.95053,                0.77785,                0.71423,                0.39819,                0.94876,                0.78792,                0.42163,                0.95818,             0.00051706,             0.00051706,             0.00051706
                     57,                0.60503,                0.32163,                0.86403,                0.75581,                0.32227,                0.87019,                0.93046,                0.91611,                0.94859,                0.77768,                0.71329,                0.39876,                0.95082,                0.78662,                0.42467,                0.95756,             0.00050606,             0.00050606,             0.00050606
                     58,                0.59969,                0.31789,                 0.8593,                0.75158,                0.31739,                0.86593,                 0.9206,                0.91492,                0.94689,                0.77768,                0.71315,                0.39194,                0.94481,                0.78511,                0.41587,                0.95344,             0.00049506,             0.00049506,             0.00049506
                     59,                0.59203,                0.31431,                0.85684,                0.74232,                0.31409,                0.86368,                0.92386,                0.91592,                0.94801,                0.78019,                 0.7074,                0.39746,                0.93319,                0.78178,                   0.43,                0.94131,             0.00048406,             0.00048406,             0.00048406
                     60,                0.58853,                0.31264,                 0.8584,                0.73579,                0.30906,                 0.8647,                0.93574,                0.90859,                0.95146,                0.78479,                0.70638,                0.39367,                0.94437,                0.78004,                0.41998,                0.95346,             0.00047306,             0.00047306,             0.00047306
                     61,                0.58451,                0.30897,                0.85845,                0.73259,                0.30664,                0.86406,                0.93598,                0.89874,                0.94902,                0.78447,                0.69833,                0.39271,                0.94519,                0.77175,                0.42237,                0.95448,             0.00046206,             0.00046206,             0.00046206
                     62,                0.57529,                0.30492,                0.85565,                0.72155,                  0.303,                 0.8618,                0.92213,                0.92289,                0.95071,                0.78703,                 0.6967,                0.39107,                0.94303,                0.76927,                0.41593,                 0.9526,             0.00045107,             0.00045107,             0.00045107
                     63,                0.57313,                 0.3022,                0.85288,                 0.7186,                0.29905,                0.85915,                0.93541,                0.90609,                0.94927,                  0.787,                0.69044,                0.38789,                0.93229,                0.76486,                0.42629,                0.94298,             0.00044007,             0.00044007,             0.00044007
                     64,                0.56543,                0.29769,                0.85096,                0.71267,                0.29536,                0.85726,                0.93041,                0.91266,                 0.9509,                0.78758,                 0.6888,                0.39068,                0.93967,                0.76296,                0.42952,                0.94945,             0.00042907,             0.00042907,             0.00042907
                     65,                0.55771,                0.29748,                0.85221,                0.70112,                0.29478,                0.85821,                0.94686,                0.89815,                0.95121,                0.79005,                 0.6888,                0.39045,                0.94289,                0.76336,                0.42969,                0.95279,             0.00041807,             0.00041807,             0.00041807
                     66,                0.55849,                0.29663,                0.85257,                0.70116,                 0.2946,                0.85835,                0.94378,                0.90951,                0.95249,                0.78851,                0.68685,                0.38587,                0.94796,                0.76064,                0.42269,                 0.9568,             0.00040707,             0.00040707,             0.00040707
                     67,                 0.5542,                0.29429,                0.85224,                0.69398,                0.28907,                0.85796,                0.93741,                 0.9141,                0.95173,                0.78993,                 0.6808,                0.38551,                0.93954,                0.75393,                0.41948,                0.94896,             0.00039607,             0.00039607,             0.00039607
